iter	Passed	Remaining
0	1	790
1	2	767
2	3	764
3	5	764
4	6	768
5	7	754
6	8	744
7	10	740
8	11	736
9	12	733
10	13	727
11	14	729
12	16	727
13	17	730
14	18	733
15	20	735
16	21	733
17	22	735
18	23	731
19	25	729
20	26	725
21	27	722
22	28	717
23	30	720
24	31	722
25	32	722
26	34	722
27	35	721
28	36	720
29	37	716
30	39	716
31	40	716
32	41	716
33	43	718
34	44	718
35	45	717
36	47	716
37	48	715
38	49	714
39	51	714
40	52	711
41	53	709
42	54	709
43	55	707
44	57	705
45	58	705
46	59	703
47	61	702
48	62	699
49	63	699
50	65	700
51	66	701
52	67	699
53	69	697
54	70	696
55	71	694
56	72	692
57	73	691
58	75	689
59	76	688
60	77	687
61	78	684
62	80	682
63	81	681
64	82	680
65	83	678
66	85	676
67	86	676
68	87	675
69	88	673
70	90	670
71	91	670
72	92	669
73	94	668
74	95	668
75	96	668
76	98	667
77	99	665
78	100	664
79	102	663
80	103	663
81	104	661
82	106	661
83	107	661
84	109	660
85	110	658
86	111	655
87	112	653
88	113	651
89	114	650
90	115	648
91	117	646
92	118	645
93	119	644
94	120	643
95	122	641
96	123	639
97	124	638
98	125	636
99	127	635
100	128	634
101	129	632
102	130	631
103	132	629
104	133	628
105	134	626
106	135	625
107	137	624
108	138	624
109	139	622
110	140	621
111	142	619
112	143	617
113	144	615
114	145	614
115	146	613
116	148	611
117	149	610
118	150	608
119	151	606
120	152	605
121	154	603
122	155	602
123	156	602
124	158	602
125	159	601
126	161	600
127	162	599
128	163	597
129	164	596
130	166	595
131	167	594
132	168	593
133	170	591
134	171	591
135	172	589
136	174	588
137	175	587
138	176	586
139	177	584
140	179	583
141	180	581
142	181	580
143	182	579
144	184	577
145	185	576
146	186	574
147	187	572
148	188	570
149	189	569
150	190	567
151	192	566
152	193	565
153	194	564
154	196	564
155	198	564
156	199	563
157	200	562
158	202	560
159	203	559
160	204	558
161	206	558
162	207	556
163	208	555
164	210	553
165	211	552
166	212	550
167	213	549
168	214	548
169	216	547
170	217	545
171	218	544
172	220	543
173	221	542
174	222	540
175	223	538
176	224	537
177	226	536
178	227	535
179	228	534
180	230	532
181	231	531
182	232	529
183	233	528
184	234	526
185	236	525
186	237	524
187	238	523
188	239	521
189	241	520
190	242	519
191	243	517
192	244	516
193	246	515
194	247	514
195	249	513
196	250	511
197	251	510
198	252	509
199	253	507
200	255	507
201	257	507
202	258	506
203	260	504
204	261	503
205	262	502
206	264	501
207	265	500
208	266	498
209	268	497
210	270	497
211	271	497
212	273	496
213	274	495
214	275	493
215	277	493
216	279	492
217	280	492
218	282	491
219	284	491
220	285	489
221	287	488
222	288	487
223	289	485
224	290	484
225	292	483
226	293	482
227	295	482
228	297	481
229	298	479
230	299	478
231	300	476
232	301	475
233	302	473
234	303	471
235	305	470
236	306	469
237	307	467
238	308	466
239	309	464
240	311	463
241	312	462
242	313	461
243	315	459
244	316	458
245	317	457
246	318	455
